Group,CA4,SLC2A3
Condition,179.4576857,3359.897131
Condition,404.2746954,4762.178697
Condition,256.1585839,4992.979548
Condition,220.3633744,3527.015939
Condition,304.6515235,4956.159022
Condition,190.6943494,3194.009895
Condition,312.999291,4229.450104
Condition,127.7346644,2125.666003
Condition,561.4990886,6632.121448
Condition,753.6794395,6923.423558
Condition,232.4652061,3327.83378
Condition,224.2570142,6653.641877
Condition,138.4447478,3519.841405
Condition,222.3063906,3923.197866
Condition,119.3385744,4580.992943
Condition,160.3652618,4451.836794
Condition,297.3702246,9881.149949
Condition,391.5157703,8003.5105
Condition,180.0844329,4298.747158
